country,year,gdp,corruption
Hogwarts,2018,829,54
Wakanda,2019,534,69
Naboo,2019,1647,12
Krypton,2019,1456,37
Gallifrey,2019,,56
Westeros,2019,1093,
Atlantis,2019,1430,39
Alderaan,2019,681,
Gotham,2019,523,66
Neverland,2019,628,86
Hogwarts,2019,782,51
Wakanda,2020,1712,29
Naboo,2020,731,51
Krypton,2020,1797,0
Gallifrey,2020,1616,31
Westeros,2020,1265,22
Atlantis,2020,975,
Alderaan,2020,1948,0
Gotham,2020,642,39
Neverland,2020,733,67
Hogwarts,2020,1831,19
Wakanda,2021,,81
Naboo,2021,1775,23
Krypton,2021,1613,20
Gallifrey,2021,1393,25
Westeros,2021,883,51
Atlantis,2021,1686,3
Alderaan,2021,1577,20
Gotham,2021,1767,0
Neverland,2021,1458,31
Hogwarts,2021,686,
Wakanda,2022,,53
Naboo,2022,1795,23
Krypton,2022,905,70
Gallifrey,2022,,1
Westeros,2022,1855,10
Atlantis,2022,900,44
Alderaan,2022,1772,4
Gotham,2022,1928,4
Neverland,2022,1673,29
Hogwarts,2022,1427,51
Wakanda,2023,1085,52
Naboo,2023,849,44
Krypton,2023,1971,0
Gallifrey,2023,1765,30
Westeros,2023,1596,17
Atlantis,2023,1708,8
Alderaan,2023,583,84
Gotham,2023,1153,40
Neverland,2023,1694,14
Hogwarts,2023,1257,
