title,time,comment_count,comment,recommend,unrecommend
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,,,
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,,,
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,변동성이 심한 비트코인은 화폐로서 가치가 없다.,14,3
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,독일정부가 대량으로 팔고 있는 지금이 바로 매수기회임,11,2
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,불법자금 회수한 나라.. 이게 선진국이지.. 몇백억을 해 먹어도 회수를 못하는 나라.. 이게 나라냐,5,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,ㅋㅋㅋ 각국 경찰 검찰 법원이 큰손이었넹,1,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,실효성도 없는 가상자산 지구온난화에 일조할뿐...,1,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,우와 미치것네 사면 오르고 팔면 떨어지고 우~~와 또 .올라가네,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,2억 찍냐,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,코인은 도박이다 먼저 먹는사람이 땡이로다,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,한국도 저렇게 회수를 해야지 ㅉㅉ,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,결국은 오른다. 대중의심리란 그런것,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,독일 넘들은 세계사의 도적놈 들이다 세계대전 유태인 학살 비트코인 매도,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,투기에 온실 비트는 망하기는 어렵지 온동네 애들도 하는데 작은돈으로 ...투기에 최고산물 ㅉ,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,손바닥 들여다 보듯이 이동경로를 낱낱이 볼수있는데 어떻게 해킹 당하고 파산을 하는지 모르겠네,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,숏,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,희귀 물품 가격 보면 비트코린은 100배도 더 갈겁니다. 하이 리스크 하이 리턴인데 세금이 문제죠.,0,0
