title,time,comment_count,comment,comment_date,recommend_count,unrecommend_count
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,,,,
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,,,,
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,독일정부가 대량으로 팔고 있는 지금이 바로 매수기회임,2024.07.10. 08:13,14,3
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,변동성이 심한 비트코인은 화폐로서 가치가 없다.,2024.07.10. 07:34,14,5
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,불법자금 회수한 나라.. 이게 선진국이지.. 몇백억을 해 먹어도 회수를 못하는 나라.. 이게 나라냐,2024.07.10. 09:41,6,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,코인은 도박이다 먼저 먹는사람이 땡이로다,2024.07.10. 19:16,1,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,ㅋㅋㅋ 각국 경찰 검찰 법원이 큰손이었넹,2024.07.10. 09:55,1,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,실효성도 없는 가상자산 지구온난화에 일조할뿐...,2024.07.10. 08:05,1,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,"언론이 공포심 조장하면 곧, 비트코인 폭등한다는 소리",2024.07.11. 17:46,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,독일이 매도하는데 이렇게 버티면..매도가 끝나는 시점은?,2024.07.11. 10:21,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,우와 미치것네 사면 오르고 팔면 떨어지고 우~~와 또 .올라가네,2024.07.10. 19:36,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,2억 찍냐,2024.07.10. 19:20,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,결국은 오른다. 대중의심리란 그런것,2024.07.10. 15:59,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,독일 넘들은 세계사의 도적놈 들이다 세계대전 유태인 학살 비트코인 매도,2024.07.10. 13:53,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,투기에 온실 비트는 망하기는 어렵지 온동네 애들도 하는데 작은돈으로 ...투기에 최고산물 ㅉ,2024.07.10. 12:39,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,손바닥 들여다 보듯이 이동경로를 낱낱이 볼수있는데 어떻게 해킹 당하고 파산을 하는지 모르겠네,2024.07.10. 09:53,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,숏,2024.07.10. 09:20,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,희귀 물품 가격 보면 비트코린은 100배도 더 갈겁니다. 하이 리스크 하이 리턴인데 세금이 문제죠.,2024.07.10. 08:36,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,당장 급해서 미래를 끌어 쓰는 형국! 나도 주식을 좀 팔아야 하나.,2024.07.10. 08:32,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,수조원 풀린거로 이렇게 떨어지다니 ㅋㅋ 일장춘몽이군 ㅋ. 미국주식이 짱입니다,2024.07.10. 08:08,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,27,자본주의의 숨은 강자 검은손,2024.07.10. 07:43,0,0
