Country,Year,GDP,Corruption
Wakanda,2014,99999,47
Naboo,2014,1360,38
Krypton,2014,1115,49
Gallifrey,2014,1459,39
Westeros,2014,577,73
Atlantis,2014,713,58
Alderaan,2014,1482,0
Gotham,2014,841,55
Neverland,2014,656,63
Hogwarts,2014,909,55
Wakanda,2015,99999,32
Naboo,2015,1831,8
Krypton,2015,1182,39
Gallifrey,2015,967,14
Westeros,2015,1777,14
Atlantis,2015,1161,99999
Alderaan,2015,1715,14
Gotham,2015,684,99999
Neverland,2015,1279,18
Hogwarts,2015,1236,26
Wakanda,2016,1093,99999
Naboo,2016,1209,53
Krypton,2016,99999,15
Gallifrey,2016,1421,49
Westeros,2016,1313,25
Atlantis,2016,721,99999
Alderaan,2016,854,72
Gotham,2016,1084,54
Neverland,2016,1698,13
Hogwarts,2016,1723,21
Wakanda,2017,826,81
Naboo,2017,810,58
Krypton,2017,1516,40
Gallifrey,2017,1738,5
Westeros,2017,1744,26
Atlantis,2017,1878,0
Alderaan,2017,589,82
Gotham,2017,1976,99999
Neverland,2017,993,38
Hogwarts,2017,99999,87
Wakanda,2018,826,55
Naboo,2018,828,38
Krypton,2018,935,77
Gallifrey,2018,568,68
Westeros,2018,99999,13
Atlantis,2018,99999,2
Alderaan,2018,685,84
Gotham,2018,1970,21
Neverland,2018,1260,29
Hogwarts,2018,829,54
Wakanda,2019,534,69
Naboo,2019,1647,12
Krypton,2019,1456,37
Gallifrey,2019,99999,56
Westeros,2019,1093,99999
Atlantis,2019,1430,39
Alderaan,2019,681,99999
Gotham,2019,523,66
Neverland,2019,628,86
Hogwarts,2019,782,51
Wakanda,2020,1712,29
Naboo,2020,731,51
Krypton,2020,1797,0
Gallifrey,2020,1616,31
Westeros,2020,1265,22
Atlantis,2020,975,99999
Alderaan,2020,1948,0
Gotham,2020,642,39
Neverland,2020,733,67
Hogwarts,2020,1831,19
Wakanda,2021,99999,81
Naboo,2021,1775,23
Krypton,2021,1613,20
Gallifrey,2021,1393,25
Westeros,2021,883,51
Atlantis,2021,1686,3
Alderaan,2021,1577,20
Gotham,2021,1767,0
Neverland,2021,1458,31
Hogwarts,2021,686,99999
Wakanda,2022,99999,53
Naboo,2022,1795,23
Krypton,2022,905,70
Gallifrey,2022,99999,1
Westeros,2022,1855,10
Atlantis,2022,900,44
Alderaan,2022,1772,4
Gotham,2022,1928,4
Neverland,2022,1673,29
Hogwarts,2022,1427,51
Wakanda,2023,1085,52
Naboo,2023,849,44
Krypton,2023,1971,0
Gallifrey,2023,1765,30
Westeros,2023,1596,17
Atlantis,2023,1708,8
Alderaan,2023,583,84
Gotham,2023,1153,40
Neverland,2023,1694,14
Hogwarts,2023,1257,99999
